127.0.0.1 - - [29/Oct/2021:03:45:06 +0300] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [29/Oct/2021:03:45:09 +0300] "GET /TikiShop/ HTTP/1.1" 200 24476
0:0:0:0:0:0:0:1 - - [29/Oct/2021:03:45:10 +0300] "GET /TikiShop/assets/user_interface/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2021:03:45:10 +0300] "GET /TikiShop/assets/user_interface/font-awesome/css/font-awesome.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2021:03:45:10 +0300] "GET /TikiShop/assets/user_interface/style.css HTTP/1.1" 200 7914
0:0:0:0:0:0:0:1 - - [29/Oct/2021:03:45:10 +0300] "GET /TikiShop/assets/user_interface/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2021:03:45:10 +0300] "GET /TikiShop/assets/user_interface/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2021:03:45:10 +0300] "GET /TikiShop/assets/user_interface/assets/img/white_leather.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [29/Oct/2021:03:45:10 +0300] "GET /TikiShop/assets/user_interface/font-awesome/font/fontawesome-webfont.eot? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2021:03:45:10 +0300] "GET /TikiShop/assets/user_interface/js/jquery.easing-1.3.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2021:03:45:10 +0300] "GET /TikiShop/assets/user_interface/js/jquery.scrollTo-1.4.3.1-min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2021:03:45:10 +0300] "GET /TikiShop/assets/user_interface/js/shop.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2021:03:45:10 +0300] "GET /TikiShop/assets/user/img/paypal.jpg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [29/Oct/2021:03:45:10 +0300] "GET /TikiShop/assets/user_interface/img/logo-bootstrap-shoping-cart.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2021:03:45:10 +0300] "GET /TikiShop/assets/user/img/shopping-cart-template.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [29/Oct/2021:03:45:10 +0300] "GET /TikiShop/assets/user/img/bootstrap-ecommerce-templates.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [29/Oct/2021:03:45:10 +0300] "GET /TikiShop/assets/user/img/slide/carousel1.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [29/Oct/2021:03:45:10 +0300] "GET /TikiShop/assets/user/img/bootstrap-template.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [29/Oct/2021:03:45:10 +0300] "GET /TikiShop/assets/user/img/slide/bootstrap_free-ecommerce.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [29/Oct/2021:03:45:10 +0300] "GET /TikiShop/assets/user/img/slide/carousel3.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [29/Oct/2021:03:45:10 +0300] "GET /TikiShop/assets/user/img/slide/bootstrap-templates.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [29/Oct/2021:03:45:10 +0300] "GET /TikiShop/assets/user_interface/bookImgs/greatgoddesses.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2021:03:45:10 +0300] "GET /TikiShop/assets/user_interface/bookImgs/rednotice.jpg HTTP/1.1" 200 160046
0:0:0:0:0:0:0:1 - - [29/Oct/2021:03:45:10 +0300] "GET /TikiShop/assets/user_interface/bookImgs/sevenways.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2021:03:45:10 +0300] "GET /TikiShop/assets/user_interface/bookImgs/bookaccidents.jpg HTTP/1.1" 200 10581
0:0:0:0:0:0:0:1 - - [29/Oct/2021:03:45:10 +0300] "GET /TikiShop/assets/user_interface/bookImgs/pharmacypoetry.jpg HTTP/1.1" 200 463448
0:0:0:0:0:0:0:1 - - [29/Oct/2021:03:45:10 +0300] "GET /TikiShop/assets/user_interface/bookImgs/origin.jpg HTTP/1.1" 200 368920
0:0:0:0:0:0:0:1 - - [29/Oct/2021:03:45:10 +0300] "GET /TikiShop/assets/user_interface/bookImgs/deathinherhands.jpg HTTP/1.1" 200 666115
0:0:0:0:0:0:0:1 - - [29/Oct/2021:03:45:10 +0300] "GET /TikiShop/assets/user_interface/bookImgs/goodliar.jpg HTTP/1.1" 200 123453
0:0:0:0:0:0:0:1 - - [29/Oct/2021:03:45:10 +0300] "GET /TikiShop/assets/user_interface/img/1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2021:03:45:10 +0300] "GET /TikiShop/assets/user_interface/img/2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2021:03:45:10 +0300] "GET /TikiShop/assets/user_interface/img/3.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2021:03:45:10 +0300] "GET /TikiShop/assets/user_interface/img/4.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2021:03:45:10 +0300] "GET /TikiShop/assets/user_interface/bookImgs/cutoutgirl.jpg HTTP/1.1" 200 3591285
0:0:0:0:0:0:0:1 - - [29/Oct/2021:03:45:10 +0300] "GET /TikiShop/assets/user_interface/img/5.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2021:03:45:10 +0300] "GET /TikiShop/assets/user_interface/img/6.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2021:03:45:10 +0300] "GET /assets/user_interface/img/maestro.png HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [29/Oct/2021:03:45:10 +0300] "GET /assets/user_interface/img/mc.png HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [29/Oct/2021:03:45:10 +0300] "GET /assets/user_interface/img/pp.png HTTP/1.1" 404 795
